src,ref,extra_ref,Facebook_FAIR.6862,SID,raw_score,z_score,z_score_norm,raw_score_norm,annotators
The Government of Wales Act 2017 gave the Welsh assembly the power to change its name.,"Mit dem Government of Wales Act 2017 erhielt das walisische Parlament die Möglichkeit, seinen Namen zu ändern.","Der Government of Wales Act 2017 befugte die Nationalversammlung für Wales, ihren Namen zu ändern.","Der Government of Wales Act 2017 gab der walisischen Versammlung die Macht, ihren Namen zu ändern.",10,71.0,-0.510810817206999,-1.4503408028687121,-1.285637088805707,1
"In June, the Commission published the results of a public consultation on the proposals which found broad support for calling the assembly a Welsh Parliament.","Im Juni vergangenen Jahres hat die Kommission die Ergebnisse einer öffentlichen Anhörung zu den Vorschlägen veröffentlicht, wonach die Namensänderung in Walisisches Parlament breite Zustimmung findet.","Im Juni veröffentlichte die Kommission die Ergebnisse einer öffentlichen Konsultation zu den Vorschlägen, wobei die Bezeichnung Welsh Parliament großen Zuspruch fand.","Im Juni veröffentlichte die Kommission die Ergebnisse einer öffentlichen Konsultation zu den Vorschlägen, die breite Unterstützung dafür fanden, die Versammlung ein walisisches Parlament zu nennen.",11,98.0,0.767147478753943,0.7114081447151809,0.5101853464987719,1
"On the matter of the AMs' title, the Commission favoured Welsh Parliament Members or WMPs, but the MWP option received the most support in a public consultation.","Bei der Frage um den Titel der Versammlungsmitglieder bevorzugte die Kommission walisischen Parlamentsmitglieder oder WMPs, jedoch bekam die MWP-Option die meiste Unterstützung in einer öffentlichen Befragung.","Hinsichtlich des Titels der Assembly Members bevorzugte die Kommission die Bezeichnung „Welsh Parliament Members“ oder „WMPs“, aber die Option „MWP“ erhielt in einer öffentlichen Konsultation den größten Zuspruch","In der Frage des Titels der AMs favorisierte die Kommission walisische Parlamentsabgeordnete oder WMPs, aber die MWP-Option erhielt in einer öffentlichen Konsultation die meiste Unterstützung.",12,88.0,0.293829591361002,-0.08923961364922313,-0.15493407398436843,1
"AMs are apparently suggesting alternative options, but the struggle to reach consensus could be a headache for the Presiding Officer, Elin Jones, who is expected to submit draft legislation on the changes within weeks.","Mitglieder des walisischen Parlaments schlagen offenbar alternative Optionen vor, aber der Kampf zu einem Konsens zu gelangen, könnte der Vorsitzenden Elin JONES Kopfschmerzen bereiten. Von ihr wird erwartet, dass sie einen Gesetzesentwurf für diese Änderungen in den nächsten Wochen vorlegt.","AMS schlägt anscheinend alternative Möglichkeiten vor, aber das Ringen um einen Konsens könnte dem Parlamentspräsidenten Elin Jones Kopfzerbrechen bereiten, der in den kommenden Wochen einen Gesetzentwurf zu den Änderungen vorlegen soll.","AMs schlagen offenbar alternative Optionen vor, aber das Ringen um einen Konsens könnte der Vorsitzenden Elin Jones Kopfzerbrechen bereiten, von der erwartet wird, dass sie innerhalb weniger Wochen Gesetzesentwürfe zu den Änderungen vorlegt.",13,92.0,0.483156746318178,0.23101948969653782,0.11111369420888771,1
"The legislation on the reforms will include other changes to the way the assembly works, including rules on disqualification of AMs and the design of the committee system.","Die Rechtsvorschriften über die Reformen wird Änderungen in der Arbeitsweise der Versammlung beinhalten, einschließlich der Vorschriften für die Disqualifikation von Mitgliedern des walisischen Parlaments und die Gestaltung des Auschusssystems.","Die Gesetzgebung zu den Reformen umfasst weitere Änderungen bezüglich der Arbeitsweise des Gremiums, einschließlich Regeln zum Ausschluss von AM und Organisation des Ausschusssystems.","Die Gesetzgebung zu den Reformen wird weitere Änderungen in der Arbeitsweise der Versammlung beinhalten, darunter Regeln zur Disqualifikation von AMs und die Gestaltung des Ausschusssystems.",14,80.0,-0.0848247185533512,-0.7297578203407471,-0.6870296103708806,1
AMs will get the final vote on the question of what they should be called when they debate the legislation.,"Die Mitglieder der Nationalversammlung können bei der Debatte um das Gesetz entscheiden, wie sie genannt werden sollen.","Mitglieder der Versammlung werden bei der Diskussion des Gesetzes abschließend darüber abstimmen,  wie sie genannt werden sollen.","AMs werden die endgültige Abstimmung über die Frage erhalten, wie sie genannt werden sollten, wenn sie über die Gesetzgebung debattieren.",15,69.0,-0.605474394685587,-1.6104703545415926,-1.418660972902335,1
Macedonians go to polls in referendum on changing country's name,Mazedonier halten über die Änderung des Landesnamens ein Referendum ab.,"Mazedonier gehen wählen, um Name des Landes in Volksentscheid zu ändern",Mazedonier gehen bei Referendum über Namensänderung des Landes zur Wahl,16,81.0,-0.0374929298140571,-0.6496930445043066,-0.6205176683225666,1
"Voters will vote Sunday on whether to change their country's name to the ""Republic of North Macedonia.""",Am Sonntag stimmen die Wahlberechtigten über die Änderung des Landesnamens zu „Republik Nordmazedonien“ ab.,"Die Wähler werden am Sonntag darüber abstimmen, ob der Name des Landes in „Republik Nordmazedonien“ geändert werden soll.","Die Wähler stimmen am Sonntag darüber ab, ob sie den Namen ihres Landes in „Republik Nord-Mazedonien“ ändern sollen.",17,99.0,0.403060965068389,0.09553230567035975,0.5766972885470859,1
"The popular vote was set up in a bid to resolve a decades-long dispute with neighboring Greece, which has its own province called Macedonia.","Die Volksabstimmung wird abgehalten, um einen jahrzehntelangen Streit mit dem benachbarten Griechenland beizulegen, in dem eine Provinz den Namen Mazedonien trägt.","Die Volksabstimmung beabsichtigte einen jahrzehntelangen Streit mit Nachbar Griechenland zu lösen, das eine eigene Provinz namens Mazedonien hat.","Die Volksabstimmung wurde ins Leben gerufen, um einen jahrzehntelangen Streit mit dem benachbarten Griechenland zu lösen, das eine eigene Provinz namens Mazedonien hat.",18,99.0,0.403060965068389,0.09553230567035975,0.5766972885470859,1
Athens has long insisted that its northern neighbor's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.,"Athen beharrt seit langem darauf, dass der Name seines nördlichen Nachbarn einen Anspruch auf sein Territorium darstellt und hat wiederholt Einspruch gegen seinen Aufnahmeantrag für die EU und die NATO erhoben.","Athen bestand lange darauf, dass der Name seines nördlichen Nachbarns einen Anspruch auf sein Gebiet darstelle, und lehnte seine EU- und NATO-Mitgliedschaftsgesuche wiederholt ab.","Athen beharrt seit langem darauf, dass der Name seines nördlichen Nachbarn einen Anspruch auf sein Territorium darstellt, und hat wiederholt Einwände gegen seine Mitgliedsanträge für die EU und die NATO erhoben.",19,99.0,0.403060965068389,0.09553230567035975,0.5766972885470859,1
"Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.","Der mazedonische Präsident Gjorge Ivanov, ein Gegner des Referendums bezüglich der Namensänderung, hat gesagt, er werde die Abstimmung ignorieren.","Mazedonische Präsident Gjorge Ivanov, ein Gegner des Volksentscheids über die Namensänderung, sagte er werde die Abstimmung ignorieren.","Der mazedonische Präsident Gjorge Ivanov, ein Gegner des Plebiszits über die Namensänderung, hat erklärt, er werde die Abstimmung missachten.",20,100.0,0.45148629442116,0.17744687604062442,0.6432092305953999,1
"However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.","Die Befürworter des Referendums, einschließlich des Premierministers Zoran Zaev, argumentieren jedoch, dass die Namensänderung ganz einfach der Preis ist, den man für den Beitritt zur EU und zur NATO zahlen muss.","Unterstützer des Referendums, darunter Premierminister Zoran Zaev, argumentieren jedoch, dass die Namensänderung der Preis für den EU- und NATO-Beitritt sei.","Die Befürworter des Referendums, darunter Ministerpräsident Zoran Zaev, argumentieren jedoch, dass die Namensänderung lediglich der Preis sei, den man für den Beitritt zur EU und zur NATO zahlen müsse.",21,100.0,0.45148629442116,0.17744687604062442,0.6432092305953999,1
The Bells of St. Martin's Fall Silent as Churches in Harlem Struggle,"Die Glocken von St. Martin verstummenn, da Kirchen in Harlem Probleme haben","Glocken von St. Martin verstummen, da Kirchen in Harlem kämpfen",Die Glocken von St. Martin 's Fall Silent als Kirchen in Harlem Kampf,22,99.5,0.427273629744775,0.13648959085549292,0.6099532595712429,2
"""Historically, the old people I've talked to say there was a bar and a church on every corner,"" Mr. Adams said.","""Historisch gesehen haben die alten Leute, mit denen ich gesprochen habe, gesagt, dass es an jeder Ecke eine Bar und eine Kirche gab"", sagte Herr Adams.","„Historisch gesehen sagten die alten Menschen, mit denen ich gesprochen habe, dass es an jeder Ecke eine Bar und eine Kirche gab“, sagte Herr Adams.","„Historisch gesehen sagen die alten Leute, mit denen ich gesprochen habe, dass es an jeder Ecke eine Bar und eine Kirche gab“, sagte Adams.",23,54.0,-2.42386528637034,-4.686395921768233,-2.4163401036270455,1
"""Today, there's neither.""","„Heute gibt es weder noch.""",„Heute gibt es weder noch.“,„Heute gibt es keines von beiden“.,24,84.0,-0.165691260941795,-0.866548796584239,-0.4209818421776245,2
He said the disappearance of bars was understandable.,"Er sagte, das Verschwinden von Kneipen sei verständlich.","Er sagte, das Verschwinden von Bars sei verständlich.","Er sagte, das Verschwinden von Bars sei verständlich.",25,99.0,0.963395751772478,1.0433747660077592,0.5766972885470859,1
"""People socialize in a different way"" nowadays, he said.","""Menschen knüpfen Komtakte auf eine andere Art und Weise"", heutzutage sagte er.","Heutzutage „pflegen Menschen ihre Kontakte auf andere Weise“, sagte er.","„Die Leute sozialisieren sich heute auf andere Weise“, sagte er.",26,99.0,0.963395751772478,1.0433747660077592,0.5766972885470859,1
"""Bars are no longer neighborhood living rooms where people go on a regular basis.""","""Kneipen sind keine Wohnzimmer mehr in der Nachbarschaft, in denen man sich regelmäßig trifft.""","„Bars sind keine nachbarschaftlichen Wohnzimmer mehr, wo die Leute regelmäßig hingehen.“","„Bars sind keine Kiez-Wohnzimmer mehr, in die die Leute regelmäßig gehen“.",27,92.5,0.474124712929627,0.2157412222178943,0.14436966523304473,2
"As for churches, he worries that the money from selling assets will not last as long as leaders expect it to, ""and sooner or later they'll be right back where they started.""","Was Kirchen angeht, fürchtet er, dass das Geld aus dem Verkauf von Vermögenswerten nicht so lange Bestand haben wird, wie die Anführer es erwarten.","Was Kirchen angeht, befürchtet er, dass das Geld aus dem Verkauf von Vermögenswerten nicht so lange reichen werde, wie von den Leitern erwartet, und sie „früher oder später wieder am Anfang” stünden.","Was die Kirchen angeht, macht er sich Sorgen, dass das Geld aus dem Verkauf von Vermögenswerten nicht so lange reichen wird, wie die Politiker es erwarten, „und früher oder später werden sie wieder da sein, wo sie angefangen haben“.",28,91.0,0.361216011658199,0.02474886595869332,0.044601752160573674,1
"Churches, he added, could be replaced by apartment buildings with condominiums filled with the kind of people who will not help the neighborhood's remaining sanctuaries.","Kirchen könnten durch Mehrfamilienhäuser mit Eigentumswohnungen ersetzt werden, die mit der Art von Menschen gefüllt sind, die den verbleibenden Zufluchtsstätten des Stadtteils nicht helfen werden.","Kirchen, fügte er hinzu, könnte durch Appartementgebäude voll von der Art Menschen ersetzt werden, die den verbleibenden Zufluchtsstätten in der Nachbarschaft nicht helfen werden.","Kirchen, fügte er hinzu, könnten durch Wohnhäuser mit Eigentumswohnungen ersetzt werden, die mit der Art von Menschen gefüllt sind, die den verbliebenen Heiligtümern der Nachbarschaft nicht helfen werden.",29,91.0,0.361216011658199,0.02474886595869332,0.044601752160573674,2
"""The overwhelming majority of people who buy condominiums in these buildings will be white,"" he said, ""and therefore will hasten the day that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches.""","Die überwältigende Mehrheit der Menschen, die Eigentumswohnungen in diesen Gebäuden kaufen, wird weiß sein, sagte er, ""und wird daher den Tag, an dem diese Kirchen ganz geschlossen werden, beschleunigen, da es unwahrscheinlich ist, dass die meisten dieser Personen, die in diese Eigentumswohnungen einziehen, Mitglieder dieser Kirchen werden.""","„Die überwältigende Mehrheit der Menschen, die Eigentumswohnungen in diesen Gebäuden kaufen, werden weiß sein”, sagte er, „und das bringt uns dem Tag der endgültigen Schließung dieser Kirchen näher, denn die meisten jener, die in diese Eigentumswohnungen einziehen, werden später kaum Mitglieder dieser Kirchen werden.”","„Die überwältigende Mehrheit der Menschen, die Eigentumswohnungen in diesen Gebäuden kaufen, wird weiß sein“, sagte er, „und wird daher den Tag beschleunigen, an dem diese Kirchen ganz schließen, weil es unwahrscheinlich ist, dass die meisten dieser Menschen, die in diese Eigentumswohnungen ziehen, Mitglieder dieser Kirchen werden“.",30,88.0,0.135398609115345,-0.3572358465597053,-0.15493407398436843,1
"Both churches were built by white congregations before Harlem became a black metropolis - Metropolitan Community in 1870, St. Martin's a decade later.","Beide Kirchen wurden von weißen Gemeinden gebaut, bevor Harlem 1870 zur schwarzen Metropole wurde – Metropolitan Community, St. Martin's ein Jahrzehnt später.","Beide Kirchen wurden von weißen Gemeinden gebaut, bevor Harlem eine schwarze Metropole wurde – Metropolitan Community im Jahr 1870, St. Martin’s zehn Jahre später.","Beide Kirchen wurden von weißen Gemeinden gebaut, bevor Harlem eine schwarze Metropole wurde – Metropolitan Community 1870, St. Martin 's ein Jahrzehnt später.",31,83.0,-0.240963728456079,-0.9938770340903706,-0.4874937842259386,1
The original white Methodist congregation moved out in the 1930s.,Die ursprüngliche weiße methodistische Gemeinde zog in den 1930er Jahren aus.,Die ursprüngliche weiße Methodistengemeinde zog in den 1930er Jahren aus.,Die ursprüngliche weiße methodistische Gemeinde zog in den 1930er Jahren aus.,32,87.5,0.0977623753582021,-0.4208999653127727,-0.18819004500852543,2
A black congregation that had been worshiping nearby took title to the building.,"Eine schwarze Gemeinde, die in der Nähe eine Religion ausübten, erwarb das Gebäude.","Eine schwarze Gemeinde, die in der Nähe Gottesdienste abgehalten hatte, erwarb die Eigentumsrechte an dem Gebäude.","Eine schwarze Gemeinde, die in der Nähe Gottesdienst gefeiert hatte, nahm das Gebäude in Besitz.",33,87.0,0.06012614160106,-0.48456408406583873,-0.22144601603268244,1
"St. Martin's was taken over by a black congregation under the Rev. John Howard Johnson, who led a boycott of retailers on 125th Street, a main street for shopping in Harlem, who resisted hiring or promoting blacks.","St. Martin's wurde von einer schwarzen Gemeinde unter dem Pfarrer John Howard Johnson übernommen, der einen Boykott der Einzelhändler in der 125. Straße, einer Hauptstraße zum Einkaufen in Harlem, anführte, die sich der Einstellung oder Förderung von Schwarzen widersetzte.","St. Martin wurde von einer schwarzen Gemeinde unter der Leitung von Reverent John Howard Johnson übernommen, der einen Boykott der Einzelhändler auf der 125th Street anführte, einer Haupteinkaufsstraße in Harlem, die sich weigerte, Schwarze einzustellen oder zu befördern.","St. Martin 's wurde von einer schwarzen Gemeinde unter Rev. John Howard Johnson übernommen, der einen Boykott von Einzelhändlern in der 125th Street, einer Hauptstraße zum Einkaufen in Harlem, anführte, die sich weigerten, Schwarze einzustellen oder zu fördern.",34,84.0,-0.165691260941795,-0.866548796584239,-0.4209818421776245,1
"A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.","Ein Brand im Jahr 1939 hinterließ das Gebäude schwer beschädigt, aber als die Gemeindemitglieder von Pater Johnson Pläne zum Wiederaufbau machten, beauftragten sie das Glockenspiel.","Ein Brand im Jahre 1939 beschädigte das Gebäude schwer, aber Vater Johnsons Gemeindemitglieder planten einen Wiederaufbau und gaben das Glockenspiel in Auftrag.","Bei einem Brand im Jahr 1939 wurde das Gebäude schwer beschädigt, aber als Pater Johnsons Gemeindemitglieder Pläne zum Wiederaufbau schmiedeten, gaben sie das Glockenspiel in Auftrag.",35,91.0,0.361216011658199,0.02474886595869332,0.044601752160573674,1
"The Rev. David Johnson, Father Johnson's son and successor at St. Martin's, proudly called the carillon ""the poor people's bells.""","Pfarrer David Johnson, Sohn von Pater Johnson und Nachfolger in St. Martin's, nannte das Glockenspiel stolz „die Glocken der Armen.""","Rev. David Johnson, Vater Johnsons Sohn und Nachfolger in St. Martin’s, bezeichnete das Glockenspiel stolz als „Die Glocken der Armen“.","Pfarrer David Johnson, Pater Johnsons Sohn und Nachfolger in St. Martin 's, nannte das Glockenspiel stolz „die Glocken des armen Volkes“.",36,95.5,0.69994211547248,0.5977259347362912,0.3439054913779868,2
"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument.""","Der Experte, der im Juli das Glockenspiel spielte, nannte es noch etwas anderes: ""Ein Kulturschatz"" und ""ein unersetzliches historisches Instrument"".","Der Experte, der das Glockenspiel im Juli spielte, nannte es etwas anderes: „Ein Kulturschatz“ und „ein unersetzliches historisches Instrument.“","Der Experte, der das Glockenspiel im Juli spielte, nannte es etwas anderes: „Ein kultureller Schatz“ und „ein unersetzliches historisches Instrument“.",37,100.0,1.03866821928676,1.1707030035138875,0.6432092305953999,1
"The expert, Tiffany Ng of the University of Michigan, also noted that it was the first carillon in the world to be played by a black musician, Dionisio A. Lind, who moved to the larger carillon at the Riverside Church 18 years ago.","Der Experte, Tiffany Ng von der University of Michigan, stellte auch fest, dass es das erste Glockenspiel der Welt war, das von einem schwarzen Musiker, Dionisio A. Lind, gespielt wurde, der vor 18 Jahren in das größere Glockenspiel an der Riverside Church wechselte.","Tiffany Ng, Expertin an der University of Michigan, wies ebenfalls darauf hin, dass dies das weltweit erste Glockenspiel war, das von einem schwarzen Musiker, Dionisio A. Lind, gespielt wurde, das vor 18 Jahren in das größere Glockenspiel in der Riverside Church umzog.","Die Expertin Tiffany Ng von der University of Michigan wies auch darauf hin, dass es das erste Glockenspiel der Welt war, das von einem schwarzen Musiker gespielt wurde, Dionisio A. Lind, der vor 18 Jahren in das größere Glockenspiel an der Riverside Church umzog.",38,78.5,-0.579689832270363,-1.5668541028679737,-0.7867975234433517,2
Mr. Merriweather said that St. Martin's did not replace him.,"Herr Merriweather sagte, dass St. Martin's ihn nicht ersetzt hat.","Mr. Merriweather sagte, dass St. Martin's ihn durch niemanden ersetzt habe.","Mr. Merriweather sagte, dass St. Martin 's ihn nicht ersetzt habe.",39,78.0,-0.617326066027504,-1.6305182216210379,-0.8200534944675087,1
"What has played out at St. Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.","Was sich in den letzten Monaten bei St. Martin abgespielt hat, war eine komplizierte Geschichte von Architekten und Bauunternehmern, einige wurden von den Laienführern der Kirche, andere von der Bischofsdiözese eingebracht.","Was sich über die letzten Monate an der Kirche St. Martin abgespielt hat, ist eine komplizierte Geschichte von Architekten und Auftragnehmern, von denen einige von den Laienführern der Kirche, andere von der Bischofsdiözese angeheuert wurden.","Was sich in St. Martin in den letzten Monaten abgespielt hat, war eine komplizierte Geschichte von Architekten und Auftragnehmern, von denen einige von den Laienführern der Kirche, andere von der bischöflichen Diözese eingebracht wurden.",40,99.0,0.963395751772478,1.0433747660077592,0.5766972885470859,1
"The vestry - the parish's governing body, made up of lay leaders - wrote the diocese in July with concerns that the diocese ""would seek to pass along the costs"" to the vestry, even though the vestry had not been involved in hiring the architects and contractors the diocese sent in.","Die Sakristei – das Leitungsorgan der Pfarrei, das sich aus Laienführern zusammensetzt – schrieb im Juli an die Diözese mit der Sorge, dass die Diözese ""versuchen würde, die Kosten an die Sakristei weiterzugeben"", obwohl die Sakristei nicht an der Beauftragung der Architekten und Auftragnehmer der Diözese beteiligt war.","Die Sakristei – das Leitungsorgan der Gemeinde, bestehend aus Laienleitern – schrieb im Juli an die Diözese mit Bedenken darüber, dass die Diözese „versuchen würde, die Kosten auf die Sakristei abzuwälzen“, obwohl die Sakristei nicht an der Einstellung der von der Diözese entsandten Architekten und Vertragsfirmen beteiligt worden war.","Die Sakristei – das aus Laienleitern bestehende Leitungsgremium der Pfarrei – schrieb im Juli an die Diözese mit der Sorge, dass die Diözese „versuchen würde, die Kosten auf die Sakristei abzuwälzen“, obwohl die Sakristei nicht an der Einstellung der von der Diözese entsandten Architekten und Auftragnehmer beteiligt gewesen sei.",41,90.0,0.285943544143914,-0.10257937154744014,-0.021910189887740354,1
Some parishioners complained of a lack of transparency on the diocese's part.,Einige Gemeindemitglieder beklagten einen Mangel an Transparenz seitens der Diözese.,Einige Gemeindemitglieder beschwerten sich über einen Mangel an Transparenz vonseiten der Diözese.,Einige Gemeindemitglieder beschwerten sich über mangelnde Transparenz seitens der Diözese.,42,84.0,-0.165691260941795,-0.866548796584239,-0.4209818421776245,1
Shark injures 13-year-old on lobster dive in California,Hai verletzt 13-jährigen Jungen beim Hummertauchen in Kalifornien,Haifisch verletzt 13-jährigen beim Hummertauchen in Kalifornien,Hai verletzt 13-Jährige bei Hummer-Tauchgang in Kalifornien,43,99.0,0.963395751772478,1.0433747660077592,0.5766972885470859,1
"A shark attacked and injured a 13-year-old boy Saturday while he was diving for lobster in California on the opening day of lobster season, officials said.","Am Samstag griff ein Hai einen 13-jährigen Jungen an und verletzte ihn, während er in Kalifornien am Eröffnungstag der Hummersaison nach Hummern tauchte, sagten Beamte.","Ein Hai attackierte und verletzte einen 13-jährigen Jungen am Samstag, als dieser in Kalifornien zum Eröffnungstag der Hummersaison nach Hummern tauchte, wie Behörden mitteilten.","Ein Hai hat am Samstag einen 13-jährigen Jungen angegriffen und verletzt, als dieser am Eröffnungstag der Hummersaison in Kalifornien nach Hummer tauchte, wie die Beamten mitteilten.",44,99.0,0.913059063992981,0.9582270094838542,0.5766972885470859,1
The attack occurred just before 7 a.m. near Beacon's Beach in Encinitas.,Der Angriff fand kurz vor sieben Uhr morgens nahe dem Strand von Beacon in Encinitas statt.,Der Angriff fand vor 7 Uhr in der Nähe des Beacon's Beach in Encinitas statt.,Der Angriff ereignete sich kurz vor 7 Uhr in der Nähe des Beacon 's Beach in Encinitas.,45,100.0,0.938092013612918,1.0005718595989581,0.6432092305953999,1
Chad Hammel told KSWB-TV in San Diego he had been diving with friends for about half an hour Saturday morning when he heard the boy screaming for help and then paddled over with a group to help pull him out of the water.,"Chad Hammel sagte KSWB-TV in San Diego, er habe mit Freunden für eine halbe Stunde am Samstagmorgen getaucht, als er den Jungen um Hilfe schreien hörte. Er sei dann mit den anderen rübergepaddelt, um ihn aus dem Wasser zu retten.","Chad Hammel sagte KSWB-TV in San Diego, er sei am Samstag morgen mit Freunden ungefähr seit einer halben Stunde beim Tauchen gewesen, als er den Jungen nach Hilfe rufen hörte. Dann paddelte mit einer Gruppe hinüber, um ihn aus dem Wasser zu ziehen.","Chad Hammel sagte KSWB-TV in San Diego, er sei am Samstagmorgen etwa eine halbe Stunde mit Freunden getaucht, als er den Jungen um Hilfe schreien hörte und dann mit einer Gruppe hinüber paddelte, um ihn aus dem Wasser zu ziehen.",46,99.0,0.913059063992981,0.9582270094838542,0.5766972885470859,1
