index,src,mt,ref,pe,human_score,system,doc_id,sys_doc_id,dp_runs_scores
10,Your doctor may take blood tests to monitor your blood cell levels and liver function.,"Ārsts var veikt asins analīzes, lai kontrolētu Jūsu asins šūnu un aknu funkcijas rādītājus.","Lai kontrolētu cukura līmeni asinīs un aknu darbību, Jūsu ārsts var veikt asins analīzes.","Ārsts var veikt asins analīzes, lai kontrolētu jūsu asins šūnu līmeņa un aknu funkcijas rādītājus.",0.0588235294117647,nmt,1,1_nmt,0.012278854846954346|0.09495481103658676|0.045785367488861084|0.1420738250017166|0.1307181417942047
11,Elaprase treatment should be supervised by a physician or other healthcare professional experienced in the management of patients with MPS II disease or other inherited metabolic disorders.,"Ārstēšana ar Elaprase ir jāuzrauga ārstam vai cits veselības aprūpes speciālistam, kam ir pieredze MPS - 2 slimības vai citu iedzimtu vielmaiņas slimību ārstēšanā.","Ārstēšanu ar Elaprase drīkst veikt tikai tāda ārsta vai cita veselības aprūpes profesionāļa uzraudzībā, kuram ir pieredze Hantera sindroma vai citu iedzimtu vielmaiņas slimību ārstēšanā.","Ārstēšana ar Elaprase ir jāuzrauga ārstam vai citam veselības aprūpes speciālistam, kam ir pieredze MPS II slimības vai citu iedzimtu vielmaiņas slimību ārstēšanā.",0.12,nmt,1,1_nmt,0.06240381300449371|0.16094133257865906|0.1009722575545311|0.19812101125717163|0.18127791583538055
12,The systemic exposure at this dose represents 2 – 3 times the clinical exposure at the recommended clinical dose of 2 g/day.,"Sistēmiskā iedarbība, lietojot šo devu 2 reizes dienā, ir 2 – 3 reizes lielāka par klīnisko iedarbību, lietojot ieteicamās klīniskās devas – 2 g dienā.","Sistēmiskā iedarbība, lietojot šādu devu, bija 2 – 3 reizes lielāka nekā lietojot klīniski ieteikto devu – 2 g dienā.","Sistēmiskā iedarbība, lietojot šo devu, ir 2–3 reizes lielāka par klīnisko iedarbību, lietojot ieteicamo klīnisko devu 2 g dienā.",0.4347826086956521,nmt,1,1_nmt,0.05674608796834946|0.1404811292886734|0.07766445726156235|0.20080605149269104|0.16786624491214752
13,The replacement insulin acts in same way as naturally produced insulin and helps glucose enter cells from the blood.,"Insulīna aizstājējs darbojas tāpat kā dabīgais insulīns, veicina glikozes iekļūšanu šūnās no asinīm.","Insulīna aizstājējs darbojas tāpat kā dabīgais insulīns, veicinot glikozes iekļūšanu šūnās no asinīm.",Insulīna aizstājējs darbojas tāpat kā dabīgi radītais insulīns un veicina glikozes iekļūšanu šūnās no asinīm.,0.1875,nmt,1,1_nmt,-0.05129442736506462|-0.015706075355410576|0.030243216082453728|0.04728051647543907|0.06776349246501923
14,Pull off the big outer needle cap and keep it for later.,Noņemiet adatas ārējo uzgali un Saglabājiet to.,Noņemiet adatas ārējo uzgali un saglabājiet to.,Noņemiet adatas lielo ārējo uzgali un saglabājiet to.,0.1111111111111111,nmt,1,1_nmt,-0.05526428297162056|-0.02897263504564762|0.022613273933529854|0.016499223187565804|0.043396372348070145
15,"Glivec significantly prolonged RFS, with 75% of patients being recurrence-free at 38 months in the Glivec group vs.","52 mēnešos Glivec grupā, salīdzinot ar","Glivec ievērojami pagarināja RFS, kā rezultātā 75% pacientu Glivec grupā dzīvildze bez recidīva bija","Glivec ievērojami pagarināja RFS, kā rezultātā 75% pacientu Glivec grupā dzīvildze bez recidīva bija 38 mēneši, salīdzinot ar",0.7619047619047619,nmt,1,1_nmt,0.5067023038864136|0.6175432801246643|0.6906120777130127|0.667921245098114|0.5952761769294739
16,Rapid injection can cause a drop in your blood pressure and make you feel faint or even pass out.,"Strauja injekcija var izraisīt asinsspiediena pazemināšanos, kā arī izraisīt ģīboni vai pat atveseļošanos.",Strauja ievadīšana var izraisīt asinsspiediena pazemināšanos un likt Jums izjust nespēku vai pat izraisīt ģīboni.,"Strauja injekcija var izraisīt asinsspiediena pazemināšanos, kā arī izraisīt reiboni vai pat ģīboni.",0.1333333333333333,nmt,1,1_nmt,-0.007105336990207434|0.05168361961841583|0.12739837169647217|0.10299702733755112|0.11118695884943008
17,"However, variability was seen in both C1 hr (Day 4 geometric mean","Tomēr mainīgums tika konstatēts, kā mainīgais ra (4. diena – 1. 75 - 1. dienā - 1. dienā).","Tomēr, variabilitāte tika novērota gan C1 hr (vidējais ģeometriskais rādītājs 11,73 µg/ml 4. dienā, robežās no",Tomēr mainīgums tika konstatēts gan C1 hr (4. dienas ģeometriskais vidējais,1.0,nmt,1,1_nmt,0.5899124145507812|0.6918204426765442|0.7654421329498291|0.7121162414550781|0.6514189839363098
18,The experience with Glivec in patients with MDS/MPD associated with PDGFR gene re-arrangements is very limited (see section 5.1).,"Pieredze par Glivec lietošanu pacientiem ar MDS/MPD, kas saistīta ar PDGFR gēnu pārkārtošanos, ir ļoti ierobežota (skatīt 5.1. apakšpunktu).","Pieredze par Glivec lietošanu pacientiem ar MDS/MPD, kas saistīta ar PDGFR gēnu pārkārtošanos ir ļoti ierobežota (skatīt 5.1. apakšpunktu).","Pieredze par Glivec lietošanu pacientiem ar MDS/MPD, kas saistīta ar PDGFR gēnu pārkārtošanos, ir ļoti ierobežota (skatīt 5.1. apakšpunktu).",0.0,nmt,1,1_nmt,-0.03442465141415596|-0.002619802951812744|0.02034260891377926|0.03404197841882706|0.05221302807331085
19,"Although stable over time, a certain amount of insulin will initially be adsorbed to the material of the infusion bag.","Lai gan stabils laiks, viss insulīna daudzums tiks adsorbināts, lai atvieglotu infūzijas maisu saturu.","Lai gan stabils laika gaitā, sākotnēji noteikts insulīna daudzums adsorbējas infūzijas maisa materiālā.","Lai gan laika gaitā insulīns ir stabils, sākumā daļa insolīna tiek adsorbēta infūzijas maisa materiālā.",0.7647058823529411,nmt,1,1_nmt,0.25420042872428894|0.37796124815940857|0.40909555554389954|0.4385163486003876|0.41114944219589233
20,How to use the Treatment Diary,Kā lietot ārstēšanas dienasgrāmatu,Kā izmantot ārstēšanās dienasgrāmatu,Kā lietot ārstēšanās dienasgrāmatu,0.25,nmt,1,1_nmt,-0.03110712766647339|0.013162240386009216|0.028662385419011116|0.07466771453619003|0.07625282555818558
21,Hypogammaglobulinaemia in patients after allogeneic haematopoietic stem cell transplantation,Hipogammaglobulinēmija pacientiem pēc alogēnas asinsrades cilmes šūnu transplantācijas,Hipogammaglobulinēmija pacientiem pēc alogēnas asinsrades cilmes šūnu transplantācijas,Hipogammaglobulinēmija pacientiem pēc alogēno asinsrades cilmes šūnu transplantācijas,0.125,nmt,1,1_nmt,-0.023629777133464813|0.03406347706913948|0.013402593322098255|0.09541591256856918|0.07469268143177032
22,"Prior to reconstitution, do not store above 25°C.",Pirms atšķaidīšanas uzglabāt temperatūrā līdz 25 °C.,Pirms sagatavošanas uzglabāt temperatūrā līdz 25°C.,Pirms sagatavošanas uzglabāt temperatūrā līdz 25 °C.,0.1111111111111111,nmt,1,1_nmt,-0.0339568555355072|-0.009232716634869576|0.01883964240550995|0.04494903236627579|0.055135421454906464
23,"Rarely, haemolytic anaemia has been reported in patients treated with pemetrexed.","Retos gadījumos pacientiem, kuri tika ārstēti ar pemetreksedu, novērota hemolītiskā anēmija.",Reti ziņots par hemolītisko anēmiju pacientiem ārstētiem ar pemetreksedu.,"Retos gadījumos pacientiem, kuri tika ārstēti ar pemetreksedu, novērota hemolītiskā anēmija.",0.0,nmt,1,1_nmt,0.0001548263244330883|0.06330359727144241|0.04755828529596329|0.09329701215028763|0.09145798534154892
24,Hydrochloric acid and/or sodium hydroxide (pH adjustment),Sālsskābe un/vai nātrija hidroksīds (pH korekcijai),Sālsskābe un/vai nātrija hidroksīds (pH līmeņa stabilizators),Sālsskābe un/vai nātrija hidroksīds (pH korekcijai),0.0,nmt,1,1_nmt,-0.03443001210689545|-0.014657368883490562|0.015453197993338108|0.04517071321606636|0.04097079485654831
25,The highest dose administered to 12 patients in a clinical trial was 180 mg as a single dose subcutaneously.,"Lielākā devā, kas lietota 12 pacientiem klīniskajos pētījumos, ir 180 mg vienreizējā devā subkutāni.","Klīniskā pētījumā lielākā lietotā deva, ko saņēma 12 pacienti, bija 180 mg vienreizēji zemādā.","Lielākā devā, kas lietota 12 pacientiem klīniskajos pētījumos, ir 180 mg vienreizējā devā subkutāni.",0.0,nmt,1,1_nmt,0.06882942467927933|0.1285402625799179|0.13253681361675262|0.18685446679592133|0.1725994348526001
26,You may get general side effects affecting your body as a whole.,"Jums var rasties vispārējas blakusparādības, kas ietekmē Jūsu ķermeni.","Jums var būt vispārējas blakusparādības, kas ietekmē visu Jūsu organismu kopumā.","Jums var rasties vispārējas blakusparādības, kas ietekmē Jūsu ķermeni.",0.0,nmt,1,1_nmt,-0.012460969388484955|0.02018381655216217|0.03688821569085121|0.050191573798656464|0.07579506933689117
27,"If you suddenly stop treatment, depression may occur.","Ja Jūs pēkšņi pārtraucat lietot ārstēšanu, depresija var parādīties.","Ja Jūs pēkšņi pārtraucat zāļu lietošanu, var rasties depresija.","Ja pēkšņi pārtraucat ārstēšanu, var parādīties depresija.",0.4444444444444444,nmt,1,1_nmt,-0.0019106650725007057|0.027245227247476578|0.05054011195898056|0.08855728805065155|0.08640357106924057
28,"Take special care with CEPROTIN, if symptoms of allergy occur.","Īpaša piesardzība, lietojot CEPROTIN, nepieciešama šādos gadījumos:","Īpaša piesardzība, lietojot CEPROTIN, nepieciešama šādos gadījumos: ja rodas alerģijas simptomi.","Īpaša piesardzība, lietojot CEPROTIN, nepieciešama, ja tiek pamanīti alerģijas simptomi.",0.5,nmt,1,1_nmt,-0.013686904683709145|0.027535922825336456|0.3466033637523651|0.06566762179136276|0.07259439677000046
29,Treatment was administered until disease progression or development of an unacceptable toxicity.,Ārstēšanu tika lietota līdz slimības progresēšanai vai attīstības attīstībai.,"Ārstēšanu turpināja līdz slimības progresēšanai vai līdz brīdim, kad toksicitāte kļuva nepieņemama.",Ārstēšana tika lietota līdz slimības progresēšanai vai nepieņemamas toksicitātes attīstībai.,0.2727272727272727,nmt,1,1_nmt,0.08936969190835953|0.2086023986339569|0.24332155287265778|0.26449719071388245|0.21699181199073792
30,The radioactive amount of the diluted generator eluate must not exceed 1.8 GBq when it is added to the vial.,"Ja flakons ir pievienots flakonā, var pārsniegt 1, 8 GBq.","Iepildīšanas brīdī injekciju šķīduma radioaktivitāte nedrīkst pārsniegt 1,8 GBq.","Atšķaidītā ģeneratora eluāta radioaktīvais daudzums nedrīkst pārsniegt 1,8 GBq, kad tas tiek pievienots flakonam.",0.875,nmt,1,1_nmt,0.5451892614364624|0.6482794880867004|0.8057201504707336|0.6358353495597839|0.6191667914390564
31,"Therefore, patients with known hypersensitivity to peanut or soya, should be monitored closely for signs of an allergic reaction.","Tāpēc pacienti ar zināmu paaugstinātu jutību pret zemesriekstiem vai soju ir rūpīgi jānovēro, vai nerodas alerģiska reakcija pazīmes.","Tāpēc pacienti, kuriem ir konstatēta paaugstināta jutība pret zemesriekstiem vai soju, ir rūpīgi jānovēro, lai konstatētu alerģiskas reakcijas simptomus.","Tāpēc pacienti, kam zināma paaugstināta jutība pret zemesriekstiem vai soju, ir rūpīgi jānovēro, vai nerodas alerģiskas reakcijas pazīmes.",0.3636363636363636,nmt,1,1_nmt,-0.034206241369247437|0.02507493644952774|0.06701608747243881|0.047069936990737915|0.06917919963598251
32,Store below 25°C (for PVC/PE/PVDC/aluminium blisters) Or,Uzglabāt temperatūrā līdz 25 °C (PVC/PE/PVDC/aluminium īnija blisteri) vai,Uzglabāt temperatūrā līdz 25°C (PVH/PE/PVDH/alumīnija blisteri).,Uzglabāt temperatūrā līdz 25 °C (PVC/PE/PVDC/alumīnija blisteri) vai,0.1176470588235294,nmt,1,1_nmt,0.034976739436388016|0.07080549746751785|0.05295950174331665|0.10824012756347656|0.09409713000059128
33,Alternative light-protection may be used in the clean room.,Tīrā apgaismojumā var izmantot alternatīvu gaismas ievadīšanu.,Var tikt izmantota alternatīva aizsardzība neapgaismotā telpā.,Var tikt izmantota alternatīva aizsardzība neapgaismotā telpā.,0.875,nmt,1,1_nmt,0.07156956940889359|0.1897144913673401|0.2665092349052429|0.25461673736572266|0.2153487503528595
34,"These have generally occurred in patients with advanced malignant diseases, sepsis, taking multiple chemotherapy medications or undergoing apheresis (see section 4.4).","Tās parasti radās pacientiem ar progresējošu ļaundabīgu slimību, sepsi pēc vairāku ķīmijterapijas līdzekļu vai staru terapijas (skatīt apakšpunktu 4. 4).","Tie parasti radās pacientiem ar progresējošām ļaundabīgām slimībām, sepsi, lietojot vairākas ķīmijterapijas zāles, vai kuriem tika veikta aferēze (skatīt 4.4. apakšpunktu).","Tās parasti radās pacientiem ar progresējošu ļaundabīgu slimību, sepsi, lietojot vairākus ķīmijterapijas līdzekļus vai veicot aferēzi (skatīt 4.4. apakšpunktu).",0.4166666666666667,nmt,1,1_nmt,0.09377272427082062|0.1819361001253128|0.282532274723053|0.24124769866466522|0.2141493856906891
35,"Animal studies do not indicate direct or indirect harmful effects with respect to pregnancy, embryonal/foetal development or","Pētījumi ar dzīvniekiem tiešu vai netiešu kaitīgu ietekmi uz grūtniecību, embrionālo/augļa attīstību un","Pētījumi ar dzīvniekiem nav atklājuši tiešu vai netiešu kaitīgu ietekmi uz grūtniecību, embrija/augļa attīstību vai dzemdībām (skatīt","Pētījumi ar dzīvniekiem neliecina par tiešu vai netiešu kaitīgu ietekmi uz grūtniecību, embrionālo/augļa attīstību un",0.1111111111111111,nmt,1,1_nmt,0.04163500294089317|0.1724986433982849|0.15245632827281952|0.2326863706111908|0.2006663680076599
36,"Based on its high molecular weight, poor aqueous solubility, and extensive erythrocyte and plasma protein binding, it is anticipated that tacrolimus will not be dialysable.","Ņemot vērā to, ka ir augsta blīvuma ķermeņa masa, vājš ūdens šķīdība un izteikta eritrocītu un plazmas olbaltumvielu saistīšanās, ir paredzams, ka takrolīms nevar izvadīt no organisma ar dialīzi.","Ņemot vērā tā lielo molekulārmasu, vājo šķīdību ūdenī un plašo saistīšanos ar eritrocītiem un plazmas olbaltumvielām, tiek uzskatīts, ka takrolīms netiek izvadīts ar dialīzi.","Ņemot vērā tā lielo molekulārmasu, vājo šķīdību ūdenī un izteikto eritrocītu un plazmas olbaltumvielu saistīšanos, tiek uzskatīts, ka takrolīmu nevar izvadīt no organisma ar dialīzi.",0.5517241379310345,nmt,1,1_nmt,0.15663573145866394|0.31799688935279846|0.18619592487812042|0.3148675262928009|0.3086109459400177
37,"If you have been told by your doctor that you cannot tolerate or digest some sugars, talk to your doctor, nurse or pharmacist before you are given this medicine.","Ja ārsts Jums ir teicis, ka Jums ir kāda cukura nepanesība, konsultējieties ar ārstu, medmāsu vai farmaceitu, pirms šo zāļu lietošanas.","Ja ārsts Jums ir teicis, ka Jums ir kāda cukura nepanesība, pirms šo zāļu lietošanas konsultējaties ar ārstu, medmāsu vai farmaceitu.","Ja ārsts jums ir teicis, ka jums ir kāda cukura nepanesība vai nevarat to sagremot, pirms šo zāļu lietošanas konsultējieties ar ārstu, medmāsu vai farmaceitu.",0.2413793103448276,nmt,1,1_nmt,-0.0396399199962616|-0.0171112772077322|0.017713012173771858|0.005279440898448229|0.04574321210384369
38,"- Clonidine, a medicine used to reduce high blood pressure.","- klonidīnu, zāles, ko izmanto augsta asinsspiediena pazemināšanai.","- klonidīnu, zāles, ko lieto augsta asinsspiediena pazemināšanai;","- klonidīnu, zāles, ko izmanto augsta asinsspiediena pazemināšanai.",0.0,nmt,1,1_nmt,-0.04757070168852806|-0.02897406928241253|0.01901836134493351|0.009181451052427292|0.03840770572423935
39,Your doctor will decide how much Cancidas you need and for how long each day.,"Ārsts izlems, cik daudz Cancidas jālieto un cik ilgi katru dienu.","Jūsu ārsts izlems, cik daudz un cik ilgi Cancidas Jums nepieciešams katru dienu.","Ārsts izlems, cik daudz un cik ilgi Cancidas jālieto katru dienu.",0.0769230769230769,nmt,1,1_nmt,0.06816783547401428|0.13227839767932892|0.03225673735141754|0.18350188434123993|0.1688154935836792
40,Your doctor may advise you that it is appropriate to use a syringe pump to regulate the injection of Ceplene.,"Jūsu ārsts Jums norādīs, ka Jums jālieto šļirces sūknis, lai koriģētu Ceplene injicēšanu.","Jūsu ārsts var ieteikt izmantot šļirces sūkni, lai regulētu Ceplene injicēšanu.","Jūsu ārsts var ieteikt izmantot šļirces sūkni, lai regulētu Ceplene injicēšanu.",0.6153846153846154,nmt,1,1_nmt,0.063803531229496|0.1337541937828064|0.05800651013851166|0.19624270498752594|0.21058371663093567
41,You must tell your doctor as soon as possible when you start experiencing any of these side effects.,"Ja Jums rodas kāda no šīm blakusparādībām, pēc iespējas ātrāk informējiet ārstu.","Ja Jums rodas kāda no šīm blakusparādībām, Jums tas pēc iespējas ātrāk jāpasaka ārstam.","Ja Jums rodas kāda no šīm blakusparādībām, pēc iespējas ātrāk informējiet ārstu.",0.0,nmt,1,1_nmt,-0.040998924523591995|-0.013822201639413834|0.02538442797958851|0.007165692280977964|0.04981054738163948
42,Clinical trials with Focetria H1N1v,Focetria klīniskie pētījumi,Klīniskie pētījumi ar Focetria H1N1v,Klīniskie pētījumi ar Focetria H1N1,0.6,nmt,1,1_nmt,0.1957997828722|0.3465672731399536|0.3774022161960602|0.4000776410102844|0.37247976660728455
43,Ask your doctor which method is best for you.,Jautājiet ārstam par Jums piemērotāko metodi.,Jautājiet ārstam par Jums piemērotāko metodi.,Jautājiet ārstam par Jums piemērotāko metodi.,0.0,nmt,1,1_nmt,-0.05922427028417587|-0.062194399535655975|0.01113686989992857|-0.01578991487622261|0.019069720059633255
44,"Concomitant administration of substances that are also tubularly secreted (e.g. probenecid, penicillin) could potentially result in delayed clearance of pemetrexed.","Vienlaikus lietojot vielas, kas arī ir arī tubulīna (piemēram, probenecīdu, penicilīnu), var ietekmēt pemetrekseda klīrensu.","Lietojot vienlaikus ar vielām, kas arī tiek sekretētas kanāliņos (piemēram, probenecīdu, penicilīnu), var aizkavēties pemetrekseda klīrenss.","Vienlaikus lietojot vielas, kas arī tiek izvadītas ar tubulāro sekrēciju (piemēram, probenecīds, penicilīns), var tikt ietekmēts pemetrekseda klīrenss.",0.4,nmt,1,1_nmt,0.06047555059194565|0.166855588555336|0.20568722486495972|0.1762567013502121|0.1663992702960968
45,Patients should be advised to immediately contact their physician if these symptoms occur (see section 4.4).,"Pacientiem jāiesaka nekavējoties sazināties ar ārstu, ja parādās šādi simptomi (skatīt apakšpunktu 4. 4).","Ja parādās iepriekš minētie simptomi, pacientam noteikti jāgriežas pie ārsta (skatīt apakšpunktā 4.4).","Pacientiem jāiesaka nekavējoties sazināties ar ārstu, ja parādās šādi simptomi (skatīt 4.4. apakšpunktu).",0.2352941176470588,nmt,1,1_nmt,0.03532286733388901|0.10841989517211914|0.25242653489112854|0.13911345601081848|0.14814777672290802
46,"For intravenous use, single use administration only.","Intravenozai lietošanai, tikai vienreizējai lietošanai.","Intravenozai lietošanai, tikai vienreizējai ievadīšanai.","Intravenozai lietošanai, tikai vienreizējai lietošanai.",0.0,nmt,1,1_nmt,-0.06233161315321922|-0.04513658583164215|0.06123394891619682|-0.007296980824321508|0.03624648228287697
47,"You may need to read it again. • If you have any further questions, ask your doctor or pharmacist. • If you get any side effects, talk to your doctor or pharmacist.","Iespējams, ka vēlāk to vajadzēs pārlasīt. • ja Jums rodas jebkādi jautājumi, vaicājiet ārstam vai farmaceitam. • ja Jums rodas jebkādas blakusparādības, konsultējieties ar ārstu vai farmaceitu.","Iespējams, ka vēlāk to vajadzēs pārlasīt. • Ja Jums rodas jebkādi jautājumi, vaicājiet ārstam vai farmaceitam. • Ja Jums rodas jebkādas blakusparādības, konsultējieties ar ārstu vai farmaceitu.","Iespējams, ka vēlāk to vajadzēs pārlasīt. • Ja Jums rodas jebkādi jautājumi, vaicājiet ārstam vai farmaceitam. • Ja Jums rodas jebkādas blakusparādības, konsultējieties ar ārstu vai farmaceitu.",0.0,nmt,1,1_nmt,-0.037480708211660385|-0.02225678227841854|0.022899728268384933|-0.005041700787842274|0.0424773246049881
48,"In the event of overdose, symptomatic and supportive treatment immediately should be started and maintained it for as long as necessary.","Pārdozēšanas gadījumā nekavējoties jāsāk simptomātiska un atbalstoša terapija, un tā jāturpina tik ilgi, cik nepieciešams.","Pārdozēšanas gadījumā jāsāk tūlītēja vispārēja simptomātiska un uzturoša terapija un tā jāturpina, cik ilgi nepieciešams.","Pārdozēšanas gadījumā nekavējoties jāsāk simptomātiska un atbalstoša terapija, un tā jāturpina tik ilgi, cik nepieciešams.",0.0,nmt,1,1_nmt,-0.0010392805561423302|0.047380231320858|0.030692195519804955|0.10010121017694473|0.11252469569444656
49,To give yourself a subcutaneous injection you will need:,"Lai izdarītu sev subkutānu injekciju, Jums būs nepieciešams:","Lai veiktu sev subkutānu injekciju, Jums būs vajadzīgi šādi piederumi:","Lai veiktu sev subkutānu injekciju, jums būs nepieciešams:",0.1,nmt,1,1_nmt,-0.0038902636151760817|0.03457005321979523|0.042794421315193176|0.07515393942594528|0.091305673122406
50,The following types of reactions have been reported mainly from post-marketing experience with Glivec.,Par turpmāk minētajiem reakciju veidiem ziņots galvenokārt Glivec pēcreģistrācijas lietošanas periodā.,Par turpmāk minētajiem reakciju veidiem ziņots galvenokārt Glivec pēcreģistrācijas lietošanas periodā.,Par šī tipa reakcijām ziņots galvenokārt Glivec pēcreģistrācijas lietošanas periodā.,0.3636363636363636,nmt,1,1_nmt,-0.0700160413980484|-0.04545050859451294|0.018374178558588028|0.01447516493499279|0.04329530894756317
